"name","wkt"
"29 Glen Waverley Springvale Monash","POINT(145.162182669025 -37.9059122457368)"
"Bakers Creek","POINT(149.146847444913 -21.2149885579627)"
"Blores Hill-Munjara Camp","POINT(146.802166952069 -37.9323728580658)"
"Brodie Street Shops","POINT(151.029111086883 -33.8111667071528)"
"CBD Central","POINT(151.20801867805 -33.8694737318589)"
"Micket Creek","POINT(130.949176513498 -12.4031793033194)"
"Monash Uni","POINT(145.135111156247 -37.9117451010342)"
"Notting Hill Industrial South","POINT(145.15102401945 -37.9128675162132)"
"Parramatta CBD","POINT(151.002944416595 -33.8152777572713)"
"Sale Neighbourhood 2","POINT(147.071606299098 -38.1094482961565)"
"South Mackay - Sporting & Quota Park","POINT(149.19065484818 -21.1647028569813)"
